order_id,customer_id,product_sku,quantity,unit_price,total_amount,order_date,shipping_status,payment_method,shipping_address
ORD-L1019,CUST-025,PROD-A014,1,249.99,249.99,2023-01-04,In Transit,CREDIT_CARD,"2751 Pine Street, Apt 47B, Columbus, OH 43028"
ORD-L1020,CUST-440,PROD-A020,3,18.99,56.97,2023-01-04,In Transit,AMAZON_PAY,"1232 Sunset Boulevard, Chicago, IL 60614"
ORD-L1021,CUST-468,PROD-A008,3,34.99,104.97,2023-01-05,Delivered,PAYPAL,"382 Oak Avenue, Apt 31C, Charlotte, NC 28219"
ORD-L1022,CUST-009,PROD-A018,1,26,26,2023-01-05,Delivered,DEBIT_CARD,"6836 Main St, San Francisco, CA 94168"
ORD-L1023,CUST-353,PROD-A013,1,64.99,64.99,2023-01-05,Processing,PAYPAL,"7165 Hill Street, Apt 21D, Seattle, WA 98133"
ORD-L1024,CUST-211,PROD-A013,1,59.53,59.53,2023-01-05,Cancelled,DEBIT_CARD,"6052 Broadway, Apt 30D, San Antonio, TX 78211"
ORD-L1025,CUST-059,PROD-A001,3,299.99,899.97,2023-01-05,Shipped,DEBIT_CARD,"5447 Broadway, San Diego, CA 92158"
ORD-L1026,CUST-440,PROD-A001,1,271.55,271.55,2023-01-06,Cancelled,PAYPAL,"1232 Sunset Boulevard, Chicago, IL 60614"
ORD-L1027,CUST-490,PROD-A003,1,12.99,12.99,2023-01-06,Shipped,AMAZON_PAY,"8307 Broadway, Columbus, OH 43089"
ORD-L1028,CUST-164,PROD-A005,1,79.99,79.99,2023-01-06,Delivered,CREDIT_CARD,"5555 Market Street, Boston, MA 02175"
ORD-L1029,CUST-052,PROD-A018,1,26,26,2023-01-07,Processing,PAYPAL,"8880 Park Place, Jacksonville, FL 32028"
ORD-L1030,CUST-108,PROD-A010,1,42.99,42.99,2023-01-07,Cancelled,GIFT_CARD,"2603 Forest Avenue, Apt 46D, Houston, TX 77084"
ORD-L1031,CUST-335,PROD-A010,3,42.99,128.97,2023-01-07,In Transit,DEBIT_CARD,"8610 Forest Avenue, Apt 23A, Philadelphia, PA 19019"
ORD-L1032,CUST-083,PROD-A001,4,299.99,1199.96,2023-01-07,Processing,CREDIT_CARD,"4141 Elm Avenue, Columbus, OH 43096"
ORD-L1033,CUST-169,PROD-A008,1,34.99,34.99,2023-01-07,Delivered,GIFT_CARD,"8654 Market Street, Apt 33C, Dallas, TX 75217"
ORD-L1034,CUST-057,PROD-A006,1,315.62,315.62,2023-01-08,Shipped,CREDIT_CARD,"9055 Lake Road, Philadelphia, PA 19052"
ORD-L1035,CUST-214,PROD-A007,1,119.75,119.75,2023-01-08,Cancelled,AMAZON_PAY,"2557 Pine Street, Apt 5B, Los Angeles, CA 90073"
ORD-L1036,CUST-174,PROD-A018,4,26,104,2023-01-08,Processing,DEBIT_CARD,"3151 Oak Avenue, Jacksonville, FL 32022"
ORD-L1037,CUST-170,PROD-A013,1,64.99,64.99,2023-01-09,Delivered,AMAZON_PAY,"1069 Oak Avenue, Apt 29C, Philadelphia, PA 19026"
ORD-L1038,CUST-323,PROD-A010,1,42.99,42.99,2023-01-09,Shipped,AMAZON_PAY,"2042 Washington Blvd, Apt 42A, Fort Worth, TX 76126"
ORD-L1039,CUST-352,PROD-A014,1,249.99,249.99,2023-01-09,Cancelled,AMAZON_PAY,"438 Hill Street, Charlotte, NC 28286"
ORD-L1040,CUST-196,PROD-A002,3,19.99,59.97,2023-01-09,In Transit,AMAZON_PAY,"2550 Hill Street, Denver, CO 80252"
ORD-L1041,CUST-137,PROD-A014,1,233.48,233.48,2023-01-09,Processing,PAYPAL,"2914 Forest Avenue, Apt 38A, Los Angeles, CA 90069"
ORD-L1042,CUST-396,PROD-A014,1,213.87,213.87,2023-01-10,Shipped,DEBIT_CARD,"3074 Market Street, Austin, TX 78745"
ORD-L1043,CUST-484,PROD-A001,2,299.99,599.98,2023-01-10,Shipped,CREDIT_CARD,"1177 Maple Drive, Apt 42C, Dallas, TX 75221"
ORD-L1044,CUST-174,PROD-A007,1,119.99,119.99,2023-01-10,Shipped,CREDIT_CARD,"3151 Oak Avenue, Jacksonville, FL 32022"
ORD-L1045,CUST-416,PROD-A003,3,12.99,38.97,2023-01-10,In Transit,CREDIT_CARD,"8578 Washington Blvd, Apt 37A, Charlotte, NC 28257"
ORD-L1046,CUST-117,PROD-A016,4,118.35,473.39,2023-01-10,Processing,AMAZON_PAY,"3556 Oak Avenue, Phoenix, AZ 85017"
ORD-L1047,CUST-136,PROD-A020,1,18.99,18.99,2023-01-10,Shipped,DEBIT_CARD,"7552 Elm Avenue, Jacksonville, FL 32051"
ORD-L1048,CUST-127,PROD-A020,1,18.99,18.99,2023-01-10,Processing,AMAZON_PAY,"3202 Lake Road, Chicago, IL 60662"
ORD-L1049,CUST-313,PROD-A004,4,149.99,599.96,2023-01-11,In Transit,AMAZON_PAY,"1023 Washington Blvd, Apt 23B, New York, NY 10086"
ORD-L1050,CUST-089,PROD-A013,1,55.45,55.45,2023-01-11,Cancelled,PAYPAL,"8135 River Drive, Apt 47C, Houston, TX 77050"
ORD-L1051,CUST-489,PROD-A016,3,129.99,389.97,2023-01-11,Processing,AMAZON_PAY,"6328 Lake Road, Denver, CO 80232"
ORD-L1052,CUST-344,PROD-A014,1,231.39,231.39,2023-01-11,Cancelled,AMAZON_PAY,"2020 River Drive, Apt 23A, Boston, MA 02123"
ORD-L1053,CUST-240,PROD-A018,3,26,78,2023-01-11,In Transit,DEBIT_CARD,"6076 Hill Street, Apt 30A, San Francisco, CA 94132"
ORD-L1054,CUST-364,PROD-A006,1,349.99,349.99,2023-01-12,In Transit,PAYPAL,"3479 Cedar Lane, Indianapolis, IN 46242"
ORD-L1055,CUST-191,PROD-A018,3,23.31,69.92,2023-01-12,In Transit,CREDIT_CARD,"7535 Washington Blvd, Apt 28C, Jacksonville, FL 32000"
ORD-L1056,CUST-457,PROD-A007,3,119.99,359.97,2023-01-12,Shipped,CREDIT_CARD,"3245 Sunset Boulevard, Apt 27C, San Antonio, TX 78262"
ORD-L1057,CUST-074,PROD-A008,3,34.99,104.97,2023-01-12,Processing,AMAZON_PAY,"3856 Main St, Los Angeles, CA 90005"
ORD-L1058,CUST-023,PROD-A012,1,78.1,78.1,2023-01-12,Processing,PAYPAL,"6797 Market Street, Apt 36D, Boston, MA 02100"
ORD-L1059,CUST-027,PROD-A005,3,79.99,239.97,2023-01-13,Delivered,GIFT_CARD,"4280 Elm Avenue, Phoenix, AZ 85074"
ORD-L1060,CUST-027,PROD-A014,1,249.99,249.99,2023-01-13,Delivered,PAYPAL,"4280 Elm Avenue, Phoenix, AZ 85074"
ORD-L1061,CUST-116,PROD-A001,4,299.99,1199.96,2023-01-13,Delivered,AMAZON_PAY,"1675 Lake Road, Charlotte, NC 28261"
ORD-L1062,CUST-417,PROD-A006,1,349.99,349.99,2023-01-13,Shipped,CREDIT_CARD,"5836 Washington Blvd, Los Angeles, CA 90066"
ORD-L1063,CUST-437,PROD-A008,1,34.99,34.99,2023-01-13,Shipped,GIFT_CARD,"7735 Broadway, Phoenix, AZ 85017"
ORD-L1064,CUST-120,PROD-A014,4,249.99,999.96,2023-01-13,Processing,PAYPAL,"7014 Main St, Apt 13B, Chicago, IL 60645"
ORD-L1065,CUST-474,PROD-A009,1,99.99,99.99,2023-01-14,In Transit,PAYPAL,"8789 Hill Street, Los Angeles, CA 90019"
ORD-L1066,CUST-133,PROD-A006,1,349.99,349.99,2023-01-14,In Transit,GIFT_CARD,"8768 Pine Street, Dallas, TX 75203"
ORD-L1067,CUST-161,PROD-A008,2,34.99,69.98,2023-01-14,Processing,PAYPAL,"8848 Forest Avenue, Apt 35B, New York, NY 10093"
ORD-L1068,CUST-295,PROD-A011,1,89.99,89.99,2023-01-14,Cancelled,DEBIT_CARD,"6966 Cedar Lane, Apt 24C, Los Angeles, CA 90075"
ORD-L1069,CUST-181,PROD-A018,1,26,26,2023-01-14,Delivered,PAYPAL,"5017 Pine Street, Denver, CO 80274"
ORD-L1070,CUST-271,PROD-A020,2,18.99,37.98,2023-01-14,Processing,GIFT_CARD,"6609 Park Place, Charlotte, NC 28259"
ORD-L1071,CUST-431,PROD-A002,1,19.99,19.99,2023-01-15,In Transit,GIFT_CARD,"7612 Forest Avenue, Apt 50B, Phoenix, AZ 85039"
ORD-L1072,CUST-422,PROD-A014,4,249.99,999.96,2023-01-15,Delivered,CREDIT_CARD,"3784 Maple Drive, Apt 13B, San Diego, CA 92198"
ORD-L1073,CUST-348,PROD-A020,2,18.99,37.98,2023-01-15,Cancelled,PAYPAL,"5596 Cedar Lane, Seattle, WA 98108"
ORD-L1074,CUST-371,PROD-A018,1,26,26,2023-01-15,Processing,DEBIT_CARD,"6385 Lake Road, Apt 1D, Chicago, IL 60652"
ORD-L1075,CUST-258,PROD-A005,1,79.99,79.99,2023-01-16,Cancelled,CREDIT_CARD,"2481 Washington Blvd, Columbus, OH 43034"
ORD-L1076,CUST-066,PROD-A019,1,8.99,8.99,2023-01-16,Processing,PAYPAL,"6306 Washington Blvd, Houston, TX 77001"
ORD-L1077,CUST-303,PROD-A004,1,149.99,149.99,2023-01-16,Shipped,AMAZON_PAY,"1583 Forest Avenue, Columbus, OH 43037"
ORD-L1078,CUST-446,PROD-A002,1,19.99,19.99,2023-01-16,Delivered,CREDIT_CARD,"3912 Elm Avenue, Austin, TX 78778"
ORD-L1079,CUST-215,PROD-A003,3,12.99,38.97,2023-01-17,Cancelled,AMAZON_PAY,"6690 Market Street, Dallas, TX 75286"
ORD-L1080,CUST-353,PROD-A009,4,99.99,399.96,2023-01-17,Shipped,AMAZON_PAY,"7165 Hill Street, Apt 21D, Seattle, WA 98133"
ORD-L1081,CUST-346,PROD-A014,2,245.98,491.95,2023-01-17,Shipped,PAYPAL,"5391 Main St, Apt 4A, Seattle, WA 98143"
ORD-L1082,CUST-415,PROD-A015,2,49.99,99.98,2023-01-17,Processing,AMAZON_PAY,"7769 Main St, Houston, TX 77012"
ORD-L1083,CUST-459,PROD-A017,4,89.92,359.68,2023-01-18,In Transit,AMAZON_PAY,"1723 Park Place, Apt 47A, Jacksonville, FL 32057"
ORD-L1084,CUST-374,PROD-A020,1,16.41,16.41,2023-01-18,Processing,GIFT_CARD,"5387 Cedar Lane, Seattle, WA 98175"
ORD-L1085,CUST-014,PROD-A019,1,8.99,8.99,2023-01-18,In Transit,PAYPAL,"5705 Hill Street, Boston, MA 02136"
ORD-L1086,CUST-159,PROD-A015,1,49.99,49.99,2023-01-18,Processing,GIFT_CARD,"1066 Market Street, Apt 31B, Austin, TX 78754"
ORD-L1087,CUST-340,PROD-A010,1,42.99,42.99,2023-01-18,Delivered,DEBIT_CARD,"1946 Hill Street, Fort Worth, TX 76174"
ORD-L1088,CUST-258,PROD-A015,1,49.99,49.99,2023-01-18,In Transit,PAYPAL,"2481 Washington Blvd, Columbus, OH 43034"
ORD-L1089,CUST-336,PROD-A002,1,19.86,19.86,2023-01-19,Processing,PAYPAL,"5065 Maple Drive, Seattle, WA 98177"
ORD-L1090,CUST-342,PROD-A020,1,18.99,18.99,2023-01-19,Cancelled,AMAZON_PAY,"6627 Cedar Lane, Jacksonville, FL 32035"
ORD-L1091,CUST-356,PROD-A011,1,89.99,89.99,2023-01-19,In Transit,CREDIT_CARD,"2404 Park Place, Houston, TX 77030"
ORD-L1092,CUST-049,PROD-A017,1,98,98,2023-01-19,In Transit,GIFT_CARD,"3200 Main St, Apt 16A, San Francisco, CA 94106"
ORD-L1093,CUST-171,PROD-A005,4,76.7,306.8,2023-01-19,Shipped,PAYPAL,"4142 Elm Avenue, Dallas, TX 75214"
ORD-L1094,CUST-017,PROD-A012,1,79.99,79.99,2023-01-19,Cancelled,PAYPAL,"6230 Washington Blvd, Chicago, IL 60647"
ORD-L1095,CUST-093,PROD-A010,4,42.99,171.96,2023-01-20,Shipped,AMAZON_PAY,"4372 Washington Blvd, Dallas, TX 75248"
ORD-L1096,CUST-443,PROD-A017,3,98,294,2023-01-20,Cancelled,CREDIT_CARD,"4726 Washington Blvd, Apt 42A, Dallas, TX 75251"
ORD-L1097,CUST-457,PROD-A018,4,26,104,2023-01-20,In Transit,AMAZON_PAY,"3245 Sunset Boulevard, Apt 27C, San Antonio, TX 78262"
ORD-L1098,CUST-374,PROD-A004,1,149.99,149.99,2023-01-20,In Transit,GIFT_CARD,"5387 Cedar Lane, Seattle, WA 98175"
ORD-L1099,CUST-375,PROD-A002,1,19.99,19.99,2023-01-20,Shipped,CREDIT_CARD,"6687 Main St, Austin, TX 78775"
ORD-L1100,CUST-335,PROD-A012,1,79.99,79.99,2023-01-20,Cancelled,CREDIT_CARD,"8610 Forest Avenue, Apt 23A, Philadelphia, PA 19019"
ORD-L1101,CUST-383,PROD-A020,1,16.42,16.42,2023-01-20,Shipped,DEBIT_CARD,"1400 Park Place, Apt 31A, Houston, TX 77064"
ORD-L1102,CUST-227,PROD-A009,3,99.99,299.97,2023-01-21,Shipped,AMAZON_PAY,"1035 Washington Blvd, Apt 16B, Jacksonville, FL 32011"
ORD-L1103,CUST-166,PROD-A002,1,19.99,19.99,2023-01-21,Shipped,PAYPAL,"7533 Maple Drive, Charlotte, NC 28240"
ORD-L1104,CUST-126,PROD-A003,2,12.99,25.98,2023-01-21,Cancelled,CREDIT_CARD,"3288 Main St, Apt 2D, Austin, TX 78769"
ORD-L1105,CUST-111,PROD-A008,1,34.99,34.99,2023-01-22,Delivered,DEBIT_CARD,"5543 Oak Avenue, Dallas, TX 75225"
ORD-L1106,CUST-288,PROD-A010,1,42.99,42.99,2023-01-22,Processing,DEBIT_CARD,"3039 Forest Avenue, Indianapolis, IN 46256"
ORD-L1107,CUST-499,PROD-A018,2,26,52,2023-01-22,Shipped,DEBIT_CARD,"5236 Forest Avenue, Seattle, WA 98117"
ORD-L1108,CUST-094,PROD-A001,1,262.45,262.45,2023-01-22,Delivered,PAYPAL,"7911 Sunset Boulevard, Apt 40D, Jacksonville, FL 32011"
ORD-L1109,CUST-327,PROD-A008,1,32.26,32.26,2023-01-22,Processing,CREDIT_CARD,"6907 River Drive, San Antonio, TX 78280"
ORD-L1110,CUST-049,PROD-A014,1,249.99,249.99,2023-01-22,Shipped,CREDIT_CARD,"3200 Main St, Apt 16A, San Francisco, CA 94106"
ORD-L1111,CUST-186,PROD-A010,2,42.99,85.98,2023-01-22,Processing,PAYPAL,"8708 River Drive, Austin, TX 78794"
ORD-L1112,CUST-073,PROD-A020,1,18.99,18.99,2023-01-22,Processing,AMAZON_PAY,"736 Forest Avenue, Apt 35B, Nashville, TN 37210"
ORD-L1113,CUST-296,PROD-A003,1,12.99,12.99,2023-01-22,Processing,CREDIT_CARD,"4034 Main St, Apt 31C, Charlotte, NC 28276"
ORD-L1114,CUST-456,PROD-A016,1,129.99,129.99,2023-01-23,Shipped,DEBIT_CARD,"2829 Market Street, Jacksonville, FL 32036"
ORD-L1115,CUST-314,PROD-A005,1,79.99,79.99,2023-01-23,Delivered,GIFT_CARD,"147 Park Place, Columbus, OH 43063"
ORD-L1116,CUST-260,PROD-A003,1,12.99,12.99,2023-01-23,Delivered,AMAZON_PAY,"2549 Washington Blvd, Apt 6A, Denver, CO 80259"
ORD-L1117,CUST-462,PROD-A003,3,12.99,38.97,2023-01-23,Delivered,AMAZON_PAY,"8089 Oak Avenue, Nashville, TN 37243"
ORD-L1118,CUST-177,PROD-A009,1,99.99,99.99,2023-01-23,In Transit,CREDIT_CARD,"3754 Cedar Lane, Austin, TX 78712"
ORD-L1119,CUST-120,PROD-A002,3,19.91,59.73,2023-01-23,Cancelled,DEBIT_CARD,"7014 Main St, Apt 13B, Chicago, IL 60645"
ORD-L1120,CUST-052,PROD-A001,1,280.22,280.22,2023-01-24,Cancelled,PAYPAL,"8880 Park Place, Jacksonville, FL 32028"
ORD-L1121,CUST-319,PROD-A018,1,26,26,2023-01-24,Processing,PAYPAL,"7189 Forest Avenue, Apt 41C, Phoenix, AZ 85047"
ORD-L1122,CUST-296,PROD-A016,4,129.99,519.96,2023-01-24,Delivered,AMAZON_PAY,"4034 Main St, Apt 31C, Charlotte, NC 28276"
ORD-L1123,CUST-278,PROD-A002,1,19.99,19.99,2023-01-24,Delivered,DEBIT_CARD,"7083 Broadway, Fort Worth, TX 76196"
ORD-L1124,CUST-369,PROD-A013,1,58.89,58.89,2023-01-24,Cancelled,CREDIT_CARD,"8576 Pine Street, New York, NY 10085"
ORD-L1125,CUST-442,PROD-A012,1,79.99,79.99,2023-01-24,Cancelled,GIFT_CARD,"1761 Broadway, New York, NY 10072"
ORD-L1126,CUST-064,PROD-A006,1,349.99,349.99,2023-01-24,Shipped,PAYPAL,"4569 Oak Avenue, Apt 31A, Dallas, TX 75292"
ORD-L1127,CUST-272,PROD-A001,1,299.99,299.99,2023-01-25,Processing,DEBIT_CARD,"6458 Cedar Lane, Columbus, OH 43032"
ORD-L1128,CUST-409,PROD-A004,1,149.99,149.99,2023-01-25,Cancelled,CREDIT_CARD,"3609 Hill Street, Apt 25D, Dallas, TX 75219"
ORD-L1129,CUST-004,PROD-A013,1,64.99,64.99,2023-01-25,Cancelled,PAYPAL,"9080 Hill Street, Apt 18C, Boston, MA 02188"
ORD-L1130,CUST-262,PROD-A016,1,129.99,129.99,2023-01-26,Delivered,CREDIT_CARD,"1863 Main St, Apt 40D, Fort Worth, TX 76175"
ORD-L1131,CUST-285,PROD-A012,1,79.99,79.99,2023-01-26,Delivered,AMAZON_PAY,"3076 Elm Avenue, New York, NY 10051"
ORD-L1132,CUST-254,PROD-A007,1,119.99,119.99,2023-01-26,Shipped,CREDIT_CARD,"6631 Oak Avenue, Apt 16C, Jacksonville, FL 32054"
ORD-L1133,CUST-300,PROD-A013,1,64.99,64.99,2023-01-26,In Transit,GIFT_CARD,"7453 Main St, Chicago, IL 60690"
ORD-L1134,CUST-483,PROD-A004,1,149.99,149.99,2023-01-27,Delivered,AMAZON_PAY,"3228 River Drive, Columbus, OH 43044"
ORD-L1135,CUST-311,PROD-A009,2,99.99,199.98,2023-01-27,In Transit,PAYPAL,"2141 Oak Avenue, Apt 18C, San Francisco, CA 94175"
ORD-L1136,CUST-462,PROD-A002,4,19.99,79.96,2023-01-27,In Transit,CREDIT_CARD,"8089 Oak Avenue, Nashville, TN 37243"
ORD-L1137,CUST-417,PROD-A006,1,349.99,349.99,2023-01-27,Delivered,AMAZON_PAY,"5836 Washington Blvd, Los Angeles, CA 90066"
ORD-L1138,CUST-412,PROD-A012,1,79.99,79.99,2023-01-27,Delivered,GIFT_CARD,"198 Park Place, Apt 24D, Philadelphia, PA 19091"
ORD-L1139,CUST-399,PROD-A018,1,26,26,2023-01-27,Shipped,AMAZON_PAY,"8843 Elm Avenue, San Francisco, CA 94183"
ORD-L1140,CUST-233,PROD-A001,1,262.54,262.54,2023-01-27,In Transit,GIFT_CARD,"6585 Park Place, San Antonio, TX 78280"
ORD-L1141,CUST-024,PROD-A017,1,98,98,2023-01-27,Delivered,GIFT_CARD,"3288 Forest Avenue, Apt 21C, Philadelphia, PA 19063"
ORD-L1142,CUST-233,PROD-A017,1,92.31,92.31,2023-01-28,In Transit,DEBIT_CARD,"6585 Park Place, San Antonio, TX 78280"
ORD-L1143,CUST-096,PROD-A003,1,12.99,12.99,2023-01-28,In Transit,GIFT_CARD,"1792 Park Place, San Francisco, CA 94161"
ORD-L1144,CUST-137,PROD-A008,2,34.99,69.98,2023-01-28,Shipped,PAYPAL,"2914 Forest Avenue, Apt 38A, Los Angeles, CA 90069"
ORD-L1145,CUST-144,PROD-A020,3,16.34,49.03,2023-01-28,In Transit,CREDIT_CARD,"6959 Park Place, Seattle, WA 98124"
ORD-L1146,CUST-172,PROD-A020,1,18.99,18.99,2023-01-28,In Transit,PAYPAL,"7446 Sunset Boulevard, Jacksonville, FL 32041"
ORD-L1147,CUST-057,PROD-A001,1,299.99,299.99,2023-01-29,In Transit,GIFT_CARD,"9055 Lake Road, Philadelphia, PA 19052"
ORD-L1148,CUST-142,PROD-A015,1,49.99,49.99,2023-01-29,Shipped,GIFT_CARD,"1915 Oak Avenue, Apt 47C, Columbus, OH 43026"
ORD-L1149,CUST-109,PROD-A009,1,94.58,94.58,2023-01-29,Cancelled,GIFT_CARD,"804 Lake Road, Denver, CO 80258"
ORD-L1150,CUST-408,PROD-A010,1,42.99,42.99,2023-01-29,Delivered,CREDIT_CARD,"1869 Market Street, Apt 29D, New York, NY 10005"
ORD-L1151,CUST-434,PROD-A004,1,149.99,149.99,2023-01-29,Delivered,GIFT_CARD,"680 Lake Road, Austin, TX 78704"
ORD-L1152,CUST-221,PROD-A007,1,111.33,111.33,2023-01-29,Shipped,GIFT_CARD,"7134 River Drive, Chicago, IL 60678"
ORD-L1153,CUST-342,PROD-A005,2,79.99,159.98,2023-01-30,In Transit,GIFT_CARD,"6627 Cedar Lane, Jacksonville, FL 32035"
ORD-L1154,CUST-432,PROD-A001,1,299.99,299.99,2023-01-30,Shipped,AMAZON_PAY,"8313 Park Place, Nashville, TN 37279"
ORD-L1155,CUST-119,PROD-A016,4,129.99,519.96,2023-01-30,Cancelled,AMAZON_PAY,"8056 Washington Blvd, Apt 48D, Philadelphia, PA 19021"
ORD-L1156,CUST-270,PROD-A008,1,34.99,34.99,2023-01-30,In Transit,AMAZON_PAY,"3736 Broadway, Indianapolis, IN 46272"
ORD-L1157,CUST-469,PROD-A005,3,79.99,239.97,2023-01-30,Processing,DEBIT_CARD,"7679 Lake Road, Apt 46B, Indianapolis, IN 46236"
ORD-L1158,CUST-176,PROD-A002,1,19.99,19.99,2023-01-30,Delivered,GIFT_CARD,"8203 Lake Road, Apt 40B, Chicago, IL 60622"
ORD-L1159,CUST-348,PROD-A013,1,64.99,64.99,2023-01-31,Processing,DEBIT_CARD,"5596 Cedar Lane, Seattle, WA 98108"
ORD-L1160,CUST-188,PROD-A020,1,16.86,16.86,2023-01-31,Processing,GIFT_CARD,"4906 Main St, Apt 39C, San Antonio, TX 78270"
ORD-L1161,CUST-240,PROD-A004,1,149.99,149.99,2023-01-31,Processing,PAYPAL,"6076 Hill Street, Apt 30A, San Francisco, CA 94132"
ORD-L1162,CUST-295,PROD-A006,1,349.99,349.99,2023-01-31,Processing,PAYPAL,"6966 Cedar Lane, Apt 24C, Los Angeles, CA 90075"
ORD-L1163,CUST-030,PROD-A016,1,129.99,129.99,2023-01-31,Processing,GIFT_CARD,"7041 Park Place, Apt 8D, Chicago, IL 60650"
ORD-L1164,CUST-313,PROD-A002,4,19.99,79.96,2023-02-01,Processing,PAYPAL,"1023 Washington Blvd, Apt 23B, New York, NY 10086"
ORD-L1165,CUST-346,PROD-A002,1,19.5,19.5,2023-02-01,In Transit,PAYPAL,"5391 Main St, Apt 4A, Seattle, WA 98143"
ORD-L1166,CUST-473,PROD-A003,3,12.99,38.97,2023-02-01,Delivered,AMAZON_PAY,"1726 Market Street, Dallas, TX 75208"
ORD-L1167,CUST-177,PROD-A017,1,98,98,2023-02-01,Delivered,AMAZON_PAY,"3754 Cedar Lane, Austin, TX 78712"
ORD-L1168,CUST-076,PROD-A001,2,299.99,599.98,2023-02-02,Shipped,DEBIT_CARD,"5351 Park Place, Chicago, IL 60619"
ORD-L1169,CUST-342,PROD-A002,1,19.99,19.99,2023-02-02,Delivered,CREDIT_CARD,"6627 Cedar Lane, Jacksonville, FL 32035"
ORD-L1170,CUST-019,PROD-A001,1,299.99,299.99,2023-02-02,In Transit,GIFT_CARD,"4985 Maple Drive, Apt 45B, Denver, CO 80254"
ORD-L1171,CUST-288,PROD-A014,1,228.43,228.43,2023-02-02,Processing,GIFT_CARD,"3039 Forest Avenue, Indianapolis, IN 46256"
ORD-L1172,CUST-250,PROD-A009,1,99.99,99.99,2023-02-02,Processing,AMAZON_PAY,"9034 Forest Avenue, Apt 39C, Chicago, IL 60695"
ORD-L1173,CUST-314,PROD-A003,2,12.99,25.98,2023-02-03,Delivered,AMAZON_PAY,"147 Park Place, Columbus, OH 43063"
ORD-L1174,CUST-276,PROD-A011,1,89.99,89.99,2023-02-03,Processing,CREDIT_CARD,"7257 Main St, Denver, CO 80248"
ORD-L1175,CUST-032,PROD-A016,1,114.69,114.69,2023-02-03,In Transit,CREDIT_CARD,"1006 Lake Road, Los Angeles, CA 90097"
ORD-L1176,CUST-415,PROD-A007,3,119.99,359.97,2023-02-03,Shipped,CREDIT_CARD,"7769 Main St, Houston, TX 77012"
ORD-L1177,CUST-442,PROD-A019,4,8.36,33.44,2023-02-03,Shipped,CREDIT_CARD,"1761 Broadway, New York, NY 10072"
ORD-L1178,CUST-472,PROD-A020,1,18.99,18.99,2023-02-04,Cancelled,GIFT_CARD,"8649 Broadway, Indianapolis, IN 46246"
