account_id,promotion_applied,quantity,order,customer,product,unit,total,shipping,payment,
,PRIME_DISCOUNT,4.0,2023-01-01T20:44:40.124Z,USER-1208,B08TW5NKRQ,94.99,379.96,FBA,MasterCard,modern_sales.csv
,,1.0,2023-01-01T23:56:26.452Z,USER-1497,B08XYDLC1P,99.99,99.99,FBA,AmEx,modern_sales.csv
ACC-02412,,1.0,SALE-03005,"7749 Spring St, Dallas, TX 75201",ITEM-3020,18.67,18.67,In Transit,Bank Transfer,third_system_sales.json
ACC-02412,,1.0,SALE-03005,"7749 Spring St, Dallas, TX 75201",ITEM-3020,18.67,18.67,In Transit,Bank Transfer,third_system_sales.json
ACC-02412,,1.0,SALE-03005,"7749 Spring St, Dallas, TX 75201",ITEM-3020,18.67,18.67,In Transit,Bank Transfer,third_system_sales.json
ACC-02412,,1.0,SALE-03005,"7749 Spring St, Dallas, TX 75201",ITEM-3020,18.67,18.67,In Transit,Bank Transfer,third_system_sales.json
ACC-02412,,1.0,SALE-03005,"7749 Spring St, Dallas, TX 75201",ITEM-3020,18.67,18.67,In Transit,Bank Transfer,third_system_sales.json
ACC-02278,,1.0,SALE-03006,"4859 Broadway #62, Chicago, IL 60616",ITEM-3010,46.12,46.12,Completed,Digital Wallet,third_system_sales.json
ACC-02278,,1.0,SALE-03006,"4859 Broadway #62, Chicago, IL 60616",ITEM-3010,46.12,46.12,Completed,Digital Wallet,third_system_sales.json
ACC-02278,,1.0,SALE-03006,"4859 Broadway #62, Chicago, IL 60616",ITEM-3010,46.12,46.12,Completed,Digital Wallet,third_system_sales.json
ACC-02278,,1.0,SALE-03006,"4859 Broadway #62, Chicago, IL 60616",ITEM-3010,46.12,46.12,Completed,Digital Wallet,third_system_sales.json
ACC-02278,,1.0,SALE-03006,"4859 Broadway #62, Chicago, IL 60616",ITEM-3010,46.12,46.12,Completed,Digital Wallet,third_system_sales.json
ACC-02079,,1.0,SALE-03007,"7205 Park Place, San Antonio, TX 78296",ITEM-3004,153.99,153.99,Pending,Bank Transfer,third_system_sales.json
ACC-02079,,1.0,SALE-03007,"7205 Park Place, San Antonio, TX 78296",ITEM-3004,153.99,153.99,Pending,Bank Transfer,third_system_sales.json
ACC-02079,,1.0,SALE-03007,"7205 Park Place, San Antonio, TX 78296",ITEM-3004,153.99,153.99,Pending,Bank Transfer,third_system_sales.json
ACC-02079,,1.0,SALE-03007,"7205 Park Place, San Antonio, TX 78296",ITEM-3004,153.99,153.99,Pending,Bank Transfer,third_system_sales.json
ACC-02079,,1.0,SALE-03007,"7205 Park Place, San Antonio, TX 78296",ITEM-3004,153.99,153.99,Pending,Bank Transfer,third_system_sales.json
ACC-02252,,1.0,SALE-03008,"6673 Park Pl, Fort Worth, TX 76101",ITEM-3009,96.29,96.29,Pending,Debit Card,third_system_sales.json
ACC-02252,,1.0,SALE-03008,"6673 Park Pl, Fort Worth, TX 76101",ITEM-3009,96.29,96.29,Pending,Debit Card,third_system_sales.json
ACC-02252,,1.0,SALE-03008,"6673 Park Pl, Fort Worth, TX 76101",ITEM-3009,96.29,96.29,Pending,Debit Card,third_system_sales.json
ACC-02252,,1.0,SALE-03008,"6673 Park Pl, Fort Worth, TX 76101",ITEM-3009,96.29,96.29,Pending,Debit Card,third_system_sales.json
ACC-02252,,1.0,SALE-03008,"6673 Park Pl, Fort Worth, TX 76101",ITEM-3009,96.29,96.29,Pending,Debit Card,third_system_sales.json
,COUPON_10,1.0,2023-01-02T00:05:38.155Z,USER-1307,B09C5RK5TV,74.99,74.99,Seller,PayPal,modern_sales.csv
,COUPON_10,1.0,2023-01-02T02:14:48.106Z,USER-1103,B08XYDLC1P,99.99,99.99,FBA,PayPal,modern_sales.csv
,,3.0,2023-01-02T11:15:06.814Z,USER-1213,B08GGGM5D9,329.99,989.97,Seller,Debit,modern_sales.csv
,COUPON_10,1.0,2023-01-02T14:17:59.974Z,USER-1149,B08GGGM5D9,329.99,329.99,FBM,Debit,modern_sales.csv
,,1.0,2023-01-02T15:00:36.931Z,USER-1341,B08HGH6J8X,289.99,289.99,Seller,Discover,modern_sales.csv
,LIGHTNING_DEAL,1.0,2023-01-02T21:43:00.222Z,USER-1192,B08KY654WZ,98.0,98.0,Seller,VISA,modern_sales.csv
ACC-02036,,1.0,SALE-03009,"4376 Main St, Denver, CO 80210",ITEM-3006,370.64,370.64,Cancelled,Cash on Delivery,third_system_sales.json
ACC-02036,,1.0,SALE-03009,"4376 Main St, Denver, CO 80210",ITEM-3006,370.64,370.64,Cancelled,Cash on Delivery,third_system_sales.json
ACC-02036,,1.0,SALE-03009,"4376 Main St, Denver, CO 80210",ITEM-3006,370.64,370.64,Cancelled,Cash on Delivery,third_system_sales.json
ACC-02036,,1.0,SALE-03009,"4376 Main St, Denver, CO 80210",ITEM-3006,370.64,370.64,Cancelled,Cash on Delivery,third_system_sales.json
ACC-02270,,1.0,SALE-03010,"4330 Center St, Philadelphia, PA 19019",ITEM-3015,54.68,54.68,Delivered,Digital Wallet,third_system_sales.json
ACC-02270,,1.0,SALE-03010,"4330 Center St, Philadelphia, PA 19019",ITEM-3015,54.68,54.68,Delivered,Digital Wallet,third_system_sales.json
ACC-02270,,1.0,SALE-03010,"4330 Center St, Philadelphia, PA 19019",ITEM-3015,54.68,54.68,Delivered,Digital Wallet,third_system_sales.json
ACC-02270,,1.0,SALE-03010,"4330 Center St, Philadelphia, PA 19019",ITEM-3015,54.68,54.68,Delivered,Digital Wallet,third_system_sales.json
ACC-02250,,1.0,SALE-03011,"167 Spring St #133, Atlanta, GA 30301",ITEM-3012,81.42,81.42,Processing,PayPal,third_system_sales.json
ACC-02250,,1.0,SALE-03011,"167 Spring St #133, Atlanta, GA 30301",ITEM-3012,81.42,81.42,Processing,PayPal,third_system_sales.json
ACC-02250,,1.0,SALE-03011,"167 Spring St #133, Atlanta, GA 30301",ITEM-3012,81.42,81.42,Processing,PayPal,third_system_sales.json
ACC-02250,,1.0,SALE-03011,"167 Spring St #133, Atlanta, GA 30301",ITEM-3012,81.42,81.42,Processing,PayPal,third_system_sales.json
ACC-02497,,1.0,SALE-03012,"7030 Forest Ave, Atlanta, GA 30301",ITEM-3001,275.03,275.03,In Transit,PayPal,third_system_sales.json
ACC-02497,,1.0,SALE-03012,"7030 Forest Ave, Atlanta, GA 30301",ITEM-3001,275.03,275.03,In Transit,PayPal,third_system_sales.json
ACC-02497,,1.0,SALE-03012,"7030 Forest Ave, Atlanta, GA 30301",ITEM-3001,275.03,275.03,In Transit,PayPal,third_system_sales.json
ACC-02497,,1.0,SALE-03012,"7030 Forest Ave, Atlanta, GA 30301",ITEM-3001,275.03,275.03,In Transit,PayPal,third_system_sales.json
ACC-02195,,1.0,SALE-03013,"2359 Center St, Fort Worth, TX 76158",ITEM-3017,107.6,107.6,Delivered,Cash on Delivery,third_system_sales.json
ACC-02195,,1.0,SALE-03013,"2359 Center St, Fort Worth, TX 76158",ITEM-3017,107.6,107.6,Delivered,Cash on Delivery,third_system_sales.json
ACC-02195,,1.0,SALE-03013,"2359 Center St, Fort Worth, TX 76158",ITEM-3017,107.6,107.6,Delivered,Cash on Delivery,third_system_sales.json
ACC-02195,,1.0,SALE-03013,"2359 Center St, Fort Worth, TX 76158",ITEM-3017,107.6,107.6,Delivered,Cash on Delivery,third_system_sales.json
,LIGHTNING_DEAL,4.0,2023-01-03T05:30:38.242Z,USER-1043,B08P4KCJVN,239.99,959.96,FBA,PayPal,modern_sales.csv
,,1.0,2023-01-03T06:17:29.497Z,USER-1175,B08GGGM5D9,329.99,329.99,FBM,PayPal,modern_sales.csv
,COUPON_10,1.0,2023-01-03T11:59:00.424Z,USER-1160,B09NBLQH43,24.99,24.99,Seller,VISA,modern_sales.csv
,,1.0,2023-01-03T13:33:20.067Z,USER-1394,B07VGRJDFY,45.99,45.99,Seller,PayPal,modern_sales.csv
,,1.0,2023-01-03T21:25:50.571Z,USER-1236,B09KLDX7M3,129.99,129.99,FBM,Debit,modern_sales.csv
ACC-02089,,1.0,SALE-03014,"6328 Lake Road, Denver, CO 80265",ITEM-3016,142.57,142.57,Processing,PayPal,third_system_sales.json
ACC-02089,,1.0,SALE-03014,"6328 Lake Road, Denver, CO 80265",ITEM-3016,142.57,142.57,Processing,PayPal,third_system_sales.json
ACC-02089,,1.0,SALE-03014,"6328 Lake Road, Denver, CO 80265",ITEM-3016,142.57,142.57,Processing,PayPal,third_system_sales.json
ACC-02089,,1.0,SALE-03014,"6328 Lake Road, Denver, CO 80265",ITEM-3016,142.57,142.57,Processing,PayPal,third_system_sales.json
ACC-02089,,1.0,SALE-03014,"6328 Lake Road, Denver, CO 80265",ITEM-3016,142.57,142.57,Processing,PayPal,third_system_sales.json
ACC-02089,,1.0,SALE-03014,"6328 Lake Road, Denver, CO 80265",ITEM-3016,142.57,142.57,Processing,PayPal,third_system_sales.json
ACC-02191,,1.0,SALE-03015,"8070 Market St, Nashville, TN 37286",ITEM-3003,14.26,14.26,In Transit,Cash on Delivery,third_system_sales.json
ACC-02191,,1.0,SALE-03015,"8070 Market St, Nashville, TN 37286",ITEM-3003,14.26,14.26,In Transit,Cash on Delivery,third_system_sales.json
ACC-02191,,1.0,SALE-03015,"8070 Market St, Nashville, TN 37286",ITEM-3003,14.26,14.26,In Transit,Cash on Delivery,third_system_sales.json
ACC-02191,,1.0,SALE-03015,"8070 Market St, Nashville, TN 37286",ITEM-3003,14.26,14.26,In Transit,Cash on Delivery,third_system_sales.json
ACC-02191,,1.0,SALE-03015,"8070 Market St, Nashville, TN 37286",ITEM-3003,14.26,14.26,In Transit,Cash on Delivery,third_system_sales.json
ACC-02191,,1.0,SALE-03015,"8070 Market St, Nashville, TN 37286",ITEM-3003,14.26,14.26,In Transit,Cash on Delivery,third_system_sales.json
ACC-02470,,1.0,SALE-03016,"3278 Broadway #88, Portland, OR 97201",ITEM-3012,73.05,73.05,Cancelled,Credit Card,third_system_sales.json
ACC-02470,,1.0,SALE-03016,"3278 Broadway #88, Portland, OR 97201",ITEM-3012,73.05,73.05,Cancelled,Credit Card,third_system_sales.json
ACC-02470,,1.0,SALE-03016,"3278 Broadway #88, Portland, OR 97201",ITEM-3012,73.05,73.05,Cancelled,Credit Card,third_system_sales.json
ACC-02470,,1.0,SALE-03016,"3278 Broadway #88, Portland, OR 97201",ITEM-3012,73.05,73.05,Cancelled,Credit Card,third_system_sales.json
ACC-02470,,1.0,SALE-03016,"3278 Broadway #88, Portland, OR 97201",ITEM-3012,73.05,73.05,Cancelled,Credit Card,third_system_sales.json
ACC-02470,,1.0,SALE-03016,"3278 Broadway #88, Portland, OR 97201",ITEM-3012,73.05,73.05,Cancelled,Credit Card,third_system_sales.json
ACC-02265,,1.0,SALE-03017,"7077 Hill St #14, San Diego, CA 92101",ITEM-3007,119.53,119.53,In Transit,PayPal,third_system_sales.json
ACC-02265,,1.0,SALE-03017,"7077 Hill St #14, San Diego, CA 92101",ITEM-3007,119.53,119.53,In Transit,PayPal,third_system_sales.json
ACC-02265,,1.0,SALE-03017,"7077 Hill St #14, San Diego, CA 92101",ITEM-3007,119.53,119.53,In Transit,PayPal,third_system_sales.json
ACC-02265,,1.0,SALE-03017,"7077 Hill St #14, San Diego, CA 92101",ITEM-3007,119.53,119.53,In Transit,PayPal,third_system_sales.json
ACC-02265,,1.0,SALE-03017,"7077 Hill St #14, San Diego, CA 92101",ITEM-3007,119.53,119.53,In Transit,PayPal,third_system_sales.json
ACC-02265,,1.0,SALE-03017,"7077 Hill St #14, San Diego, CA 92101",ITEM-3007,119.53,119.53,In Transit,PayPal,third_system_sales.json
ACC-02136,,1.0,SALE-03018,"2012 Washington Blvd, Austin, Texas 78762",ITEM-3014,239.35,239.35,In Transit,PayPal,third_system_sales.json
ACC-02136,,1.0,SALE-03018,"2012 Washington Blvd, Austin, Texas 78762",ITEM-3014,239.35,239.35,In Transit,PayPal,third_system_sales.json
ACC-02136,,1.0,SALE-03018,"2012 Washington Blvd, Austin, Texas 78762",ITEM-3014,239.35,239.35,In Transit,PayPal,third_system_sales.json
ACC-02136,,1.0,SALE-03018,"2012 Washington Blvd, Austin, Texas 78762",ITEM-3014,239.35,239.35,In Transit,PayPal,third_system_sales.json
ACC-02136,,1.0,SALE-03018,"2012 Washington Blvd, Austin, Texas 78762",ITEM-3014,239.35,239.35,In Transit,PayPal,third_system_sales.json
ACC-02136,,1.0,SALE-03018,"2012 Washington Blvd, Austin, Texas 78762",ITEM-3014,239.35,239.35,In Transit,PayPal,third_system_sales.json
ACC-02329,,5.0,SALE-03019,"8098 2nd Ave, Charlotte, NC 28201",ITEM-3014,246.69,1233.45,In Transit,Bank Transfer,third_system_sales.json
ACC-02329,,5.0,SALE-03019,"8098 2nd Ave, Charlotte, NC 28201",ITEM-3014,246.69,1233.45,In Transit,Bank Transfer,third_system_sales.json
ACC-02329,,5.0,SALE-03019,"8098 2nd Ave, Charlotte, NC 28201",ITEM-3014,246.69,1233.45,In Transit,Bank Transfer,third_system_sales.json
ACC-02329,,5.0,SALE-03019,"8098 2nd Ave, Charlotte, NC 28201",ITEM-3014,246.69,1233.45,In Transit,Bank Transfer,third_system_sales.json
ACC-02329,,5.0,SALE-03019,"8098 2nd Ave, Charlotte, NC 28201",ITEM-3014,246.69,1233.45,In Transit,Bank Transfer,third_system_sales.json
ACC-02329,,5.0,SALE-03019,"8098 2nd Ave, Charlotte, NC 28201",ITEM-3014,246.69,1233.45,In Transit,Bank Transfer,third_system_sales.json
ACC-02364,,1.0,SALE-03020,"1333 Pine St, San Diego, CA 92101",ITEM-3019,9.01,9.01,In Transit,Cash on Delivery,third_system_sales.json
ACC-02364,,1.0,SALE-03020,"1333 Pine St, San Diego, CA 92101",ITEM-3019,9.01,9.01,In Transit,Cash on Delivery,third_system_sales.json
ACC-02364,,1.0,SALE-03020,"1333 Pine St, San Diego, CA 92101",ITEM-3019,9.01,9.01,In Transit,Cash on Delivery,third_system_sales.json
ACC-02364,,1.0,SALE-03020,"1333 Pine St, San Diego, CA 92101",ITEM-3019,9.01,9.01,In Transit,Cash on Delivery,third_system_sales.json
ACC-02364,,1.0,SALE-03020,"1333 Pine St, San Diego, CA 92101",ITEM-3019,9.01,9.01,In Transit,Cash on Delivery,third_system_sales.json
ACC-02364,,1.0,SALE-03020,"1333 Pine St, San Diego, CA 92101",ITEM-3019,9.01,9.01,In Transit,Cash on Delivery,third_system_sales.json
,,1.0,2023-01-04T00:47:16.240Z,USER-1234,B07XJ8C8F5,54.99,54.99,FBM,AmEx,modern_sales.csv
,PRIME_DISCOUNT,1.0,2023-01-04T07:15:12.819Z,USER-1097,B08GGGM5D9,318.27,318.27,FBM,Discover,modern_sales.csv
,,1.0,2023-01-04T15:02:11.474Z,USER-1483,B08KY654WZ,98.0,98.0,FBA,VISA,modern_sales.csv
,HOLIDAY_SALE,1.0,2023-01-04T18:51:38.093Z,USER-1489,B09KLDX7M3,129.99,129.99,Seller,Debit,modern_sales.csv
,,2.0,2023-01-04T21:19:12.397Z,USER-1055,B08HGH6J8X,289.99,579.98,Seller,VISA,modern_sales.csv
ACC-02318,,1.0,SALE-03021,"558 Pine St, Atlanta, GA 30301",ITEM-3008,37.6,37.6,In Transit,PayPal,third_system_sales.json
ACC-02318,,1.0,SALE-03021,"558 Pine St, Atlanta, GA 30301",ITEM-3008,37.6,37.6,In Transit,PayPal,third_system_sales.json
ACC-02318,,1.0,SALE-03021,"558 Pine St, Atlanta, GA 30301",ITEM-3008,37.6,37.6,In Transit,PayPal,third_system_sales.json
ACC-02318,,1.0,SALE-03021,"558 Pine St, Atlanta, GA 30301",ITEM-3008,37.6,37.6,In Transit,PayPal,third_system_sales.json
ACC-02318,,1.0,SALE-03021,"558 Pine St, Atlanta, GA 30301",ITEM-3008,37.6,37.6,In Transit,PayPal,third_system_sales.json
ACC-02123,,1.0,SALE-03022,"3897 Market St, Boston, MA 02139",ITEM-3012,86.4,86.4,Cancelled,PayPal,third_system_sales.json
ACC-02123,,1.0,SALE-03022,"3897 Market St, Boston, MA 02139",ITEM-3012,86.4,86.4,Cancelled,PayPal,third_system_sales.json
ACC-02123,,1.0,SALE-03022,"3897 Market St, Boston, MA 02139",ITEM-3012,86.4,86.4,Cancelled,PayPal,third_system_sales.json
ACC-02123,,1.0,SALE-03022,"3897 Market St, Boston, MA 02139",ITEM-3012,86.4,86.4,Cancelled,PayPal,third_system_sales.json
ACC-02123,,1.0,SALE-03022,"3897 Market St, Boston, MA 02139",ITEM-3012,86.4,86.4,Cancelled,PayPal,third_system_sales.json
ACC-02248,,4.0,SALE-03023,"3125 Market St #28, Atlanta, GA 30301",ITEM-3012,86.4,345.6,Returned,Credit Card,third_system_sales.json
ACC-02248,,4.0,SALE-03023,"3125 Market St #28, Atlanta, GA 30301",ITEM-3012,86.4,345.6,Returned,Credit Card,third_system_sales.json
ACC-02248,,4.0,SALE-03023,"3125 Market St #28, Atlanta, GA 30301",ITEM-3012,86.4,345.6,Returned,Credit Card,third_system_sales.json
ACC-02248,,4.0,SALE-03023,"3125 Market St #28, Atlanta, GA 30301",ITEM-3012,86.4,345.6,Returned,Credit Card,third_system_sales.json
ACC-02248,,4.0,SALE-03023,"3125 Market St #28, Atlanta, GA 30301",ITEM-3012,86.4,345.6,Returned,Credit Card,third_system_sales.json
ACC-02385,,2.0,SALE-03024,"5354 Center St, San Antonio, TX 78201",ITEM-3007,119.53,239.06,Pending,Cash on Delivery,third_system_sales.json
ACC-02385,,2.0,SALE-03024,"5354 Center St, San Antonio, TX 78201",ITEM-3007,119.53,239.06,Pending,Cash on Delivery,third_system_sales.json
ACC-02385,,2.0,SALE-03024,"5354 Center St, San Antonio, TX 78201",ITEM-3007,119.53,239.06,Pending,Cash on Delivery,third_system_sales.json
ACC-02385,,2.0,SALE-03024,"5354 Center St, San Antonio, TX 78201",ITEM-3007,119.53,239.06,Pending,Cash on Delivery,third_system_sales.json
ACC-02385,,2.0,SALE-03024,"5354 Center St, San Antonio, TX 78201",ITEM-3007,119.53,239.06,Pending,Cash on Delivery,third_system_sales.json
ACC-02318,,1.0,SALE-03025,"558 Pine St, Atlanta, GA 30301",ITEM-3012,79.58,79.58,Processing,PayPal,third_system_sales.json
ACC-02318,,1.0,SALE-03025,"558 Pine St, Atlanta, GA 30301",ITEM-3012,79.58,79.58,Processing,PayPal,third_system_sales.json
ACC-02318,,1.0,SALE-03025,"558 Pine St, Atlanta, GA 30301",ITEM-3012,79.58,79.58,Processing,PayPal,third_system_sales.json
ACC-02318,,1.0,SALE-03025,"558 Pine St, Atlanta, GA 30301",ITEM-3012,79.58,79.58,Processing,PayPal,third_system_sales.json
ACC-02318,,1.0,SALE-03025,"558 Pine St, Atlanta, GA 30301",ITEM-3012,79.58,79.58,Processing,PayPal,third_system_sales.json
,,3.0,2023-01-05T04:25:30.899Z,USER-1330,B08GGGM5D9,329.99,989.97,FBA,Debit,modern_sales.csv
,HOLIDAY_SALE,2.0,2023-01-05T05:04:53.926Z,USER-1086,B07VGRJDFY,40.64,81.28,FBA,MasterCard,modern_sales.csv
,,1.0,2023-01-05T08:09:55.668Z,USER-1406,B09C5RK5TV,74.99,74.99,FBA,Discover,modern_sales.csv
,PRIME_DISCOUNT,2.0,2023-01-05T13:43:20.350Z,USER-1229,B07XJ8C8F5,54.99,109.98,FBA,Discover,modern_sales.csv
,COUPON_10,1.0,2023-01-05T21:52:56.788Z,USER-1152,B08XYDLC1P,99.99,99.99,Seller,MasterCard,modern_sales.csv
ACC-02201,,1.0,SALE-03026,"4244 Cedar Ln, Portland, OR 97201",ITEM-3018,24.92,24.92,Completed,Credit Card,third_system_sales.json
ACC-02201,,1.0,SALE-03026,"4244 Cedar Ln, Portland, OR 97201",ITEM-3018,24.92,24.92,Completed,Credit Card,third_system_sales.json
ACC-02201,,1.0,SALE-03026,"4244 Cedar Ln, Portland, OR 97201",ITEM-3018,24.92,24.92,Completed,Credit Card,third_system_sales.json
ACC-02384,,4.0,SALE-03027,"7544 Lake Rd, San Francisco, CA 94102",ITEM-3006,370.64,1482.56,Completed,Digital Wallet,third_system_sales.json
ACC-02384,,4.0,SALE-03027,"7544 Lake Rd, San Francisco, CA 94102",ITEM-3006,370.64,1482.56,Completed,Digital Wallet,third_system_sales.json
ACC-02384,,4.0,SALE-03027,"7544 Lake Rd, San Francisco, CA 94102",ITEM-3006,370.64,1482.56,Completed,Digital Wallet,third_system_sales.json
ACC-02053,,1.0,SALE-03028,"2981 Market St, Fort Worth, TX 76179",ITEM-3008,37.6,37.6,Completed,Digital Wallet,third_system_sales.json
ACC-02053,,1.0,SALE-03028,"2981 Market St, Fort Worth, TX 76179",ITEM-3008,37.6,37.6,Completed,Digital Wallet,third_system_sales.json
ACC-02053,,1.0,SALE-03028,"2981 Market St, Fort Worth, TX 76179",ITEM-3008,37.6,37.6,Completed,Digital Wallet,third_system_sales.json
ACC-02430,,1.0,SALE-03029,"3266 Broadway, Atlanta, GA 30301",ITEM-3014,225.81,225.81,Delivered,Cash on Delivery,third_system_sales.json
ACC-02430,,1.0,SALE-03029,"3266 Broadway, Atlanta, GA 30301",ITEM-3014,225.81,225.81,Delivered,Cash on Delivery,third_system_sales.json
ACC-02430,,1.0,SALE-03029,"3266 Broadway, Atlanta, GA 30301",ITEM-3014,225.81,225.81,Delivered,Cash on Delivery,third_system_sales.json
ACC-02448,,1.0,SALE-03030,"2814 Pine St, San Diego, CA 92101",ITEM-3018,26.2,26.2,In Transit,Credit Card,third_system_sales.json
ACC-02448,,1.0,SALE-03030,"2814 Pine St, San Diego, CA 92101",ITEM-3018,26.2,26.2,In Transit,Credit Card,third_system_sales.json
ACC-02448,,1.0,SALE-03030,"2814 Pine St, San Diego, CA 92101",ITEM-3018,26.2,26.2,In Transit,Credit Card,third_system_sales.json
ACC-02266,,1.0,SALE-03031,"1636 Elm Ave, Nashville, TN 37201",ITEM-3016,134.26,134.26,Cancelled,Digital Wallet,third_system_sales.json
ACC-02266,,1.0,SALE-03031,"1636 Elm Ave, Nashville, TN 37201",ITEM-3016,134.26,134.26,Cancelled,Digital Wallet,third_system_sales.json
ACC-02266,,1.0,SALE-03031,"1636 Elm Ave, Nashville, TN 37201",ITEM-3016,134.26,134.26,Cancelled,Digital Wallet,third_system_sales.json
ACC-02280,,1.0,SALE-03032,"1272 Lake Rd, Columbus, OH 43004",ITEM-3011,95.37,95.37,In Transit,Debit Card,third_system_sales.json
ACC-02280,,1.0,SALE-03032,"1272 Lake Rd, Columbus, OH 43004",ITEM-3011,95.37,95.37,In Transit,Debit Card,third_system_sales.json
ACC-02280,,1.0,SALE-03032,"1272 Lake Rd, Columbus, OH 43004",ITEM-3011,95.37,95.37,In Transit,Debit Card,third_system_sales.json
ACC-02409,,1.0,SALE-03033,"8219 Sunset Blvd #3, Fort Worth, TX 76101",ITEM-3013,65.55,65.55,Delivered,Digital Wallet,third_system_sales.json
ACC-02409,,1.0,SALE-03033,"8219 Sunset Blvd #3, Fort Worth, TX 76101",ITEM-3013,65.55,65.55,Delivered,Digital Wallet,third_system_sales.json
ACC-02409,,1.0,SALE-03033,"8219 Sunset Blvd #3, Fort Worth, TX 76101",ITEM-3013,65.55,65.55,Delivered,Digital Wallet,third_system_sales.json
,,1.0,2023-01-06T03:40:30.916Z,USER-1206,B09NBLQH43,24.99,24.99,FBA,Discover,modern_sales.csv
,,1.0,2023-01-06T03:48:21.508Z,USER-1047,B08J5F3J18,9.99,9.99,FBM,MasterCard,modern_sales.csv
,LIGHTNING_DEAL,1.0,2023-01-06T10:46:33.243Z,USER-1317,B07ZPML163,69.99,69.99,Seller,PayPal,modern_sales.csv
,COUPON_10,1.0,2023-01-06T19:50:41.018Z,USER-1338,B09NBLQH43,24.99,24.99,FBA,PayPal,modern_sales.csv
,,3.0,2023-01-06T20:38:46.304Z,USER-1494,B07VGRJDFY,45.99,137.97,FBM,MasterCard,modern_sales.csv
ACC-02241,,1.0,SALE-03034,"3653 Main St #193, Phoenix, AZ 85001",ITEM-3020,18.67,18.67,In Transit,PayPal,third_system_sales.json
ACC-02241,,1.0,SALE-03034,"3653 Main St #193, Phoenix, AZ 85001",ITEM-3020,18.67,18.67,In Transit,PayPal,third_system_sales.json
